Tanggal Penerimaan,No SO,No PO,Nama Vendor,No Handphone Vendor,Alamat Vendor,Kategori Produk,Jenis Produk,Nama Produk,Qty,Satuan,Kondisi Produk,Link Dokumen QC,Checklist Keuangan
2026-05-19,S00315,P00099,MF Antik,62 812-1506-204,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Umpak,Umpak Tiang Lampu Puro Pakualaman besi cor,4,Unit,Lolos,https://drive.google.com/file/d/1HQmcriADEPUHrUf9Y1af0npn3tN_E7ar/view?usp=drive_link,False
2026-05-22,S00540,P00106,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Grill,Grill Garis FCD Top 10mm,2,Unit,Lolos,https://drive.google.com/file/d/1POVQKvot02hZLssjdQZSBtz4-AQwMKo5/view?usp=sharing,False
2026-05-22,S00540,P00106,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Grill,Grill Bunga FCD Top 10mm,2,Unit,Lolos,https://drive.google.com/file/d/1WXm7pvMMX0sIB9h8F4tCq7Oorct7qOKs/view?usp=sharing,False
2026-05-22,S00009,P01126,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Manhole,Manhole Jogja Custom Cover 65 Frame 75 FCD,30,Unit,Lolos,https://drive.google.com/file/d/1SN0gEFE9GQtvG6CrdczX6Huees0biyq6/view?usp=sharing,False
2026-05-22,S00009,P00067,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Manhole,Manhole Bulat Smart Forest (FCD DC),2,Unit,Lolos,https://drive.google.com/file/d/1p9nRQl6xjBRmxWT-dYcFN9aeyoqcLGNE/view?usp=sharing,False
2026-05-22,Stock,P00121,Pak Yono Toples Kaca,858-7922-4155,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Toples,Toples Kaca6 No 1,15,Unit,Lolos,https://drive.google.com/file/d/1mWQE-2F5Qda8WZHwBt_kOsg2U6mwShNo/view?usp=sharing,False
2026-05-23,S00631,P00124,Berkah Jaya Fiber,62 856-0434-1064,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Cetakan Roster,Cetakan Roster 20x20,2,Unit,Lolos,https://drive.google.com/file/d/1K-zi-A2_yVL-2eOieqXUW-uH0NOfpD9v/view?usp=sharing,False
2026-05-26,S00678,P00141,Kembar Teknika,62823-2220-1080,"Jawa Tengah, Klaten, Ceper",Alat Usaha & Perlengkapan Rumah Tangga,Cukit Manhole,Cukit Manhole,1,Unit,Lolos,https://drive.google.com/file/d/1tWC2EcLi_CjcEY_4qx1CXD6VmBsmNGK-/view?usp=drive_link,False
2026-05-26,S00493,P00090,Bapak Antok,0812-1706-3264,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Bollard Custom,Bollard Custom Revisi Tinggi 75cm,9,Unit,Lolos,https://drive.google.com/file/d/1rWkNiD7mleX7iylPkUQ21Jf3WtdAailR/view?usp=drive_link,False
2026-05-26,S00553,P00111,Bapak Antok,0812-1706-3265,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Tempat Sampah,Tempat Sampah Dusun Semilir Semarang,5,Unit,Lolos,https://drive.google.com/file/d/1jZECv_xwUf214t_OwcmBYFn59Atji4pE/view?usp=sharing,False
